,circulating_supply,cmc_rank,date_added,id,last_updated,max_supply,name,num_market_pairs,platform,platform.id,platform.name,platform.slug,platform.symbol,quote.USD.last_updated,quote.USD.market_cap,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.price,quote.USD.volume_24h,slug,symbol,tags,total_supply
0,17413500.0,1,2013-04-28T00:00:00.000Z,1,2018-12-09T00:53:22.000Z,21000000.0,Bitcoin,6619,,,,,,2018-12-09T00:53:22.000Z,60645393162.7752,-0.0747797,0.966246,-17.536,3482.6653552,5320369197.21102,bitcoin,BTC,['mineable'],17413500.0
1,40926963305.0,2,2013-08-04T00:00:00.000Z,52,2018-12-09T00:54:03.000Z,100000000000.0,XRP,286,,,,,,2018-12-09T00:54:03.000Z,12574047326.347439,-0.19559,-0.864761,-17.6902,0.307231377824,455166217.271211,ripple,XRP,[],99991757426.0
2,103682943.124,3,2015-08-07T00:00:00.000Z,1027,2018-12-09T00:53:18.000Z,,Ethereum,4681,,,,,,2018-12-09T00:53:18.000Z,9605366256.99303,0.197921,-2.49128,-21.9627,92.6417206879,1903581490.69221,ethereum,ETH,['mineable'],103682943.124
3,19164800006.0237,4,2014-08-05T00:00:00.000Z,512,2018-12-09T00:54:04.000Z,,Stellar,153,,,,,,2018-12-09T00:54:04.000Z,2285747666.3959517,0.260644,1.06272,-28.3663,0.119268015616,155252340.47656,stellar,XLM,[],104522958750.253
4,1856421735.6243,5,2015-02-25T00:00:00.000Z,825,2018-12-09T00:54:10.000Z,,Tether,1496,,83.0,Omni,omni,OMNI,2018-12-09T00:54:10.000Z,1882122657.3974454,-0.337812,1.1723,1.30359,1.01384433358,3628302972.53764,tether,USDT,[],2580109502.1043
5,17499912.5,6,2017-07-23T00:00:00.000Z,1831,2018-12-09T00:53:13.000Z,21000000.0,Bitcoin Cash,185,,,,,,2018-12-09T00:53:13.000Z,1812422002.9571743,-0.420181,-4.13287,-40.4557,103.567489435,108669801.862096,bitcoin-cash,BCH,['mineable'],17499912.5
6,17477860.9418,7,2018-11-09T00:00:00.000Z,3602,2018-12-09T00:53:37.000Z,21000000.0,Bitcoin SV,82,,,,,,2018-12-09T00:53:37.000Z,1717937910.7647462,-0.19416,-3.44088,3.53104,98.2922290368,73919573.6347398,bitcoin-sv,BSV,['mineable'],17477860.9418
7,906245117.6,8,2017-07-01T00:00:00.000Z,1765,2018-12-09T00:53:16.000Z,,EOS,201,,,,,,2018-12-09T00:53:16.000Z,1672322162.4977393,-0.369095,0.768862,-37.9704,1.84533094857,818417600.650697,eos,EOS,[],1006245119.9339
8,59489617.1864531,9,2013-04-28T00:00:00.000Z,2,2018-12-09T00:53:04.000Z,84000000.0,Litecoin,703,,,,,,2018-12-09T00:53:04.000Z,1489833302.479233,0.445158,-3.00769,-27.2824,25.0435853001,503584536.169241,litecoin,LTC,['mineable'],59489617.1864531
9,66244982283.0181,10,2017-09-13T00:00:00.000Z,1958,2018-12-09T00:53:15.000Z,,TRON,152,,,,,,2018-12-09T00:53:15.000Z,891663209.5667893,-0.322668,-0.0670166,-11.5339,0.0134600867694,65885839.413401,tron,TRX,[],99216158233.75
10,25927070538.0,11,2017-10-01T00:00:00.000Z,2010,2018-12-09T00:53:16.000Z,45000000000.0,Cardano,63,,,,,,2018-12-09T00:53:16.000Z,798839702.7030941,0.162482,0.500072,-26.447,0.0308110282468,19479787.7468542,cardano,ADA,[],31112483745.0
11,16630605.4912108,12,2014-05-21T00:00:00.000Z,328,2018-12-09T00:54:05.000Z,,Monero,108,,,,,,2018-12-09T00:54:05.000Z,756715314.574591,-0.273237,-4.49031,-24.4676,45.5013688452,13983698.7049656,monero,XMR,['mineable'],16630605.4912108
12,2779530283.0,13,2017-06-13T00:00:00.000Z,1720,2018-12-09T00:54:10.000Z,2779530283.0,IOTA,34,,,,,,2018-12-09T00:54:10.000Z,651230729.6521534,0.379607,-1.89083,-22.614,0.234295245364,8073460.65015587,iota,MIOTA,[],2779530283.0
13,8999999999.0,14,2015-04-01T00:00:00.000Z,873,2018-12-09T00:54:07.000Z,,NEM,71,,,,,,2018-12-09T00:54:07.000Z,641937950.5497736,0.435589,-1.68749,-9.1685,0.0713264389579,10806073.9657212,nem,XEM,[],8999999999.0
14,130799314.924346,15,2017-07-25T00:00:00.000Z,1839,2018-12-09T00:54:12.000Z,,Binance Coin,105,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:54:12.000Z,620985773.4584715,0.120129,2.40288,-10.6263,4.74762252247,16405185.1236944,binance-coin,BNB,[],190799314.923846
